"","cluster_id","sample_id","group_id"
"cell2408","CD14+ Monocytes","ctrl101.A","A"
"cell2409","CD4 T cells","ctrl101.A","A"
"cell2410","CD4 T cells","ctrl101.A","A"
"cell2411","CD14+ Monocytes","ctrl101.A","A"
"cell2412","CD14+ Monocytes","ctrl101.A","A"
"cell2413","CD4 T cells","ctrl107.A","A"
"cell2414","CD14+ Monocytes","ctrl101.A","A"
"cell2415","CD4 T cells","ctrl101.A","A"
"cell2416","CD4 T cells","ctrl101.A","A"
"cell2417","CD4 T cells","ctrl101.B","B"
"cell2418","CD14+ Monocytes","ctrl101.A","A"
"cell2419","CD14+ Monocytes","ctrl101.A","A"
"cell2420","CD4 T cells","ctrl101.A","A"
"cell2421","CD4 T cells","ctrl101.A","A"
"cell2422","CD4 T cells","ctrl101.A","A"
"cell2423","CD14+ Monocytes","ctrl101.A","A"
"cell2424","CD4 T cells","ctrl101.A","A"
"cell2425","CD4 T cells","ctrl101.A","A"
"cell2426","CD4 T cells","ctrl101.B","B"
"cell2427","CD4 T cells","ctrl101.A","A"
"cell2428","CD4 T cells","ctrl101.A","A"
"cell2429","CD4 T cells","ctrl101.A","A"
"cell2430","CD4 T cells","ctrl101.A","A"
"cell2431","CD4 T cells","ctrl107.A","A"
"cell2432","CD14+ Monocytes","ctrl101.A","A"
"cell2433","CD4 T cells","ctrl107.A","A"
"cell2434","CD4 T cells","ctrl101.A","A"
"cell2435","CD4 T cells","ctrl101.B","B"
"cell2436","CD14+ Monocytes","ctrl101.A","A"
"cell2437","CD14+ Monocytes","ctrl101.A","A"
"cell2438","CD14+ Monocytes","ctrl101.A","A"
"cell2439","CD4 T cells","ctrl101.A","A"
"cell2440","CD4 T cells","ctrl101.A","A"
"cell2441","CD14+ Monocytes","ctrl107.A","A"
"cell2442","CD14+ Monocytes","ctrl101.A","A"
"cell2443","CD4 T cells","ctrl101.A","A"
"cell2444","CD4 T cells","ctrl101.A","A"
"cell2445","CD14+ Monocytes","ctrl107.A","A"
"cell2446","CD14+ Monocytes","ctrl107.A","A"
"cell2447","CD14+ Monocytes","ctrl101.A","A"
"cell2448","CD14+ Monocytes","ctrl101.A","A"
"cell2449","CD4 T cells","ctrl101.A","A"
"cell2450","CD14+ Monocytes","ctrl101.A","A"
"cell2451","CD14+ Monocytes","ctrl107.A","A"
"cell2452","CD14+ Monocytes","ctrl101.B","B"
"cell2453","CD4 T cells","ctrl101.A","A"
"cell2454","CD14+ Monocytes","ctrl101.A","A"
"cell2455","CD14+ Monocytes","ctrl101.B","B"
"cell2456","CD4 T cells","ctrl101.A","A"
"cell2457","CD4 T cells","ctrl101.A","A"
"cell2458","CD14+ Monocytes","ctrl101.B","B"
"cell2459","CD14+ Monocytes","ctrl107.A","A"
"cell2460","CD4 T cells","ctrl101.B","B"
"cell2461","CD4 T cells","ctrl101.A","A"
"cell2462","CD4 T cells","ctrl107.A","A"
"cell2463","CD4 T cells","ctrl101.A","A"
"cell2464","CD4 T cells","ctrl101.A","A"
"cell2465","CD4 T cells","ctrl107.A","A"
"cell2466","CD14+ Monocytes","ctrl101.A","A"
"cell2467","CD4 T cells","ctrl101.A","A"
"cell2468","CD14+ Monocytes","ctrl101.B","B"
"cell2469","CD14+ Monocytes","ctrl101.B","B"
"cell2470","CD4 T cells","ctrl101.A","A"
"cell2471","CD14+ Monocytes","ctrl101.A","A"
"cell2472","CD4 T cells","ctrl101.A","A"
"cell2473","CD14+ Monocytes","ctrl101.A","A"
"cell2474","CD4 T cells","ctrl107.A","A"
"cell2475","CD14+ Monocytes","ctrl107.A","A"
"cell2476","CD14+ Monocytes","ctrl101.A","A"
"cell2477","CD4 T cells","ctrl101.A","A"
"cell2478","CD4 T cells","ctrl101.A","A"
"cell2479","CD4 T cells","ctrl101.B","B"
"cell2480","CD4 T cells","ctrl101.A","A"
"cell2481","CD14+ Monocytes","ctrl101.A","A"
"cell2482","CD4 T cells","ctrl101.A","A"
"cell2483","CD14+ Monocytes","ctrl101.A","A"
"cell2484","CD14+ Monocytes","ctrl107.A","A"
"cell2485","CD4 T cells","ctrl107.A","A"
"cell2486","CD14+ Monocytes","ctrl101.A","A"
"cell2487","CD4 T cells","ctrl107.A","A"
"cell2488","CD4 T cells","ctrl101.A","A"
"cell2489","CD4 T cells","ctrl101.A","A"
"cell2490","CD14+ Monocytes","ctrl101.A","A"
"cell2491","CD14+ Monocytes","ctrl101.A","A"
"cell2492","CD4 T cells","ctrl101.A","A"
"cell2493","CD4 T cells","ctrl101.A","A"
"cell2494","CD14+ Monocytes","ctrl107.A","A"
"cell2495","CD14+ Monocytes","ctrl101.A","A"
"cell2496","CD14+ Monocytes","ctrl101.A","A"
"cell2497","CD14+ Monocytes","ctrl101.A","A"
"cell2498","CD4 T cells","ctrl107.A","A"
"cell2499","CD4 T cells","ctrl101.A","A"
"cell2500","CD14+ Monocytes","ctrl101.A","A"
"cell2501","CD4 T cells","ctrl101.B","B"
"cell2502","CD4 T cells","ctrl107.A","A"
"cell2503","CD4 T cells","ctrl101.A","A"
"cell2504","CD14+ Monocytes","ctrl101.B","B"
"cell2505","CD14+ Monocytes","ctrl101.A","A"
"cell2506","CD4 T cells","ctrl101.A","A"
"cell2507","CD4 T cells","ctrl101.A","A"
"cell2508","CD14+ Monocytes","ctrl101.A","A"
"cell2509","CD4 T cells","ctrl101.A","A"
"cell2510","CD14+ Monocytes","ctrl101.A","A"
"cell2511","CD4 T cells","ctrl101.A","A"
"cell2512","CD14+ Monocytes","ctrl101.A","A"
"cell2513","CD14+ Monocytes","ctrl101.A","A"
"cell2514","CD4 T cells","ctrl101.A","A"
"cell2515","CD14+ Monocytes","ctrl101.A","A"
"cell2516","CD14+ Monocytes","ctrl101.A","A"
"cell2517","CD4 T cells","ctrl101.A","A"
"cell2518","CD4 T cells","ctrl101.A","A"
"cell2519","CD14+ Monocytes","ctrl107.A","A"
"cell2520","CD14+ Monocytes","ctrl101.A","A"
"cell2521","CD4 T cells","ctrl101.A","A"
"cell2522","CD4 T cells","ctrl101.A","A"
"cell2523","CD14+ Monocytes","ctrl101.B","B"
"cell2524","CD4 T cells","ctrl101.A","A"
"cell2525","CD4 T cells","ctrl101.A","A"
"cell2526","CD4 T cells","ctrl101.A","A"
"cell2527","CD14+ Monocytes","ctrl101.A","A"
"cell2528","CD4 T cells","ctrl101.A","A"
"cell2529","CD14+ Monocytes","ctrl101.A","A"
"cell2530","CD14+ Monocytes","ctrl101.A","A"
"cell2531","CD4 T cells","ctrl101.A","A"
"cell2532","CD4 T cells","ctrl101.A","A"
"cell2533","CD14+ Monocytes","ctrl101.A","A"
"cell2534","CD14+ Monocytes","ctrl101.A","A"
"cell2535","CD4 T cells","ctrl101.A","A"
"cell2536","CD14+ Monocytes","ctrl101.B","B"
"cell2537","CD14+ Monocytes","ctrl101.A","A"
"cell2538","CD14+ Monocytes","ctrl101.A","A"
"cell2539","CD4 T cells","ctrl101.A","A"
"cell2540","CD14+ Monocytes","ctrl101.A","A"
"cell2541","CD4 T cells","ctrl101.A","A"
"cell2542","CD4 T cells","ctrl107.A","A"
"cell2543","CD14+ Monocytes","ctrl101.A","A"
"cell2544","CD14+ Monocytes","ctrl101.A","A"
"cell2545","CD14+ Monocytes","ctrl101.A","A"
"cell2546","CD14+ Monocytes","ctrl101.A","A"
"cell2547","CD14+ Monocytes","ctrl101.A","A"
"cell2548","CD14+ Monocytes","ctrl101.A","A"
"cell2549","CD14+ Monocytes","ctrl101.A","A"
"cell2550","CD4 T cells","ctrl101.B","B"
"cell2551","CD14+ Monocytes","ctrl101.B","B"
"cell2552","CD4 T cells","ctrl101.A","A"
"cell2553","CD4 T cells","ctrl101.A","A"
"cell2554","CD14+ Monocytes","ctrl101.A","A"
"cell2555","CD4 T cells","ctrl101.A","A"
"cell2556","CD14+ Monocytes","ctrl101.A","A"
"cell2557","CD4 T cells","ctrl101.A","A"
"cell2558","CD4 T cells","ctrl107.A","A"
"cell2559","CD14+ Monocytes","ctrl101.A","A"
"cell2560","CD14+ Monocytes","ctrl101.B","B"
"cell2561","CD4 T cells","ctrl101.A","A"
"cell2562","CD4 T cells","ctrl101.A","A"
"cell2563","CD14+ Monocytes","ctrl101.A","A"
"cell2564","CD14+ Monocytes","ctrl101.A","A"
"cell2565","CD14+ Monocytes","ctrl101.A","A"
"cell2566","CD4 T cells","ctrl101.A","A"
"cell2567","CD14+ Monocytes","ctrl101.A","A"
"cell2568","CD4 T cells","ctrl101.A","A"
"cell2569","CD14+ Monocytes","ctrl101.A","A"
"cell2570","CD14+ Monocytes","ctrl101.A","A"
"cell2571","CD4 T cells","ctrl101.B","B"
"cell2572","CD14+ Monocytes","ctrl101.A","A"
"cell2573","CD14+ Monocytes","ctrl101.A","A"
"cell2574","CD14+ Monocytes","ctrl101.A","A"
"cell2575","CD14+ Monocytes","ctrl101.A","A"
"cell2576","CD14+ Monocytes","ctrl101.A","A"
"cell2577","CD4 T cells","ctrl101.A","A"
"cell2578","CD14+ Monocytes","ctrl101.A","A"
"cell2579","CD14+ Monocytes","ctrl101.A","A"
"cell2580","CD14+ Monocytes","ctrl101.A","A"
"cell2581","CD4 T cells","ctrl101.A","A"
"cell2582","CD4 T cells","ctrl101.A","A"
"cell2583","CD14+ Monocytes","ctrl101.A","A"
"cell2584","CD14+ Monocytes","ctrl101.A","A"
"cell2585","CD14+ Monocytes","ctrl101.A","A"
"cell2586","CD4 T cells","ctrl101.A","A"
"cell2587","CD14+ Monocytes","ctrl101.A","A"
"cell2588","CD4 T cells","ctrl101.A","A"
"cell2589","CD4 T cells","ctrl101.A","A"
"cell2590","CD14+ Monocytes","ctrl101.A","A"
"cell2591","CD14+ Monocytes","ctrl101.A","A"
"cell2592","CD14+ Monocytes","ctrl101.B","B"
"cell2593","CD4 T cells","ctrl101.A","A"
"cell2594","CD4 T cells","ctrl101.A","A"
"cell2595","CD4 T cells","ctrl107.A","A"
"cell2596","CD4 T cells","ctrl107.A","A"
"cell2597","CD4 T cells","ctrl107.A","A"
"cell2598","CD4 T cells","ctrl101.A","A"
"cell2599","CD4 T cells","ctrl107.A","A"
"cell2600","CD14+ Monocytes","ctrl101.A","A"
"cell2601","CD4 T cells","ctrl101.B","B"
"cell2602","CD14+ Monocytes","ctrl101.A","A"
"cell2603","CD4 T cells","ctrl101.A","A"
"cell2604","CD4 T cells","ctrl101.A","A"
"cell2605","CD4 T cells","ctrl101.A","A"
"cell2606","CD4 T cells","ctrl107.A","A"
"cell2607","CD14+ Monocytes","ctrl101.A","A"
"cell2608","CD4 T cells","ctrl101.A","A"
"cell2609","CD14+ Monocytes","ctrl101.A","A"
"cell2610","CD14+ Monocytes","ctrl101.A","A"
"cell2611","CD14+ Monocytes","ctrl101.B","B"
"cell2612","CD14+ Monocytes","ctrl101.A","A"
"cell2613","CD14+ Monocytes","ctrl101.A","A"
"cell2614","CD14+ Monocytes","ctrl107.A","A"
"cell2615","CD14+ Monocytes","ctrl101.A","A"
"cell2616","CD14+ Monocytes","ctrl101.A","A"
"cell2617","CD4 T cells","ctrl101.A","A"
"cell2618","CD14+ Monocytes","ctrl101.A","A"
"cell2619","CD4 T cells","ctrl101.A","A"
"cell2620","CD14+ Monocytes","ctrl107.B","B"
"cell2621","CD4 T cells","ctrl101.A","A"
"cell2622","CD14+ Monocytes","ctrl101.B","B"
"cell2623","CD14+ Monocytes","ctrl101.B","B"
"cell2624","CD4 T cells","ctrl101.A","A"
"cell2625","CD14+ Monocytes","ctrl101.A","A"
"cell2626","CD4 T cells","ctrl101.A","A"
"cell2627","CD14+ Monocytes","ctrl101.A","A"
"cell2628","CD4 T cells","ctrl101.A","A"
"cell2629","CD14+ Monocytes","ctrl101.A","A"
"cell2630","CD14+ Monocytes","ctrl101.A","A"
"cell2631","CD14+ Monocytes","ctrl101.A","A"
"cell2632","CD14+ Monocytes","ctrl101.A","A"
"cell2633","CD4 T cells","ctrl101.A","A"
"cell2634","CD14+ Monocytes","ctrl101.B","B"
"cell2635","CD14+ Monocytes","ctrl101.B","B"
"cell2636","CD4 T cells","ctrl101.B","B"
"cell2637","CD4 T cells","ctrl107.A","A"
"cell2638","CD14+ Monocytes","ctrl101.A","A"
"cell2639","CD14+ Monocytes","ctrl101.A","A"
"cell2640","CD4 T cells","ctrl101.A","A"
"cell2641","CD4 T cells","ctrl107.A","A"
"cell2642","CD4 T cells","ctrl101.A","A"
"cell2643","CD4 T cells","ctrl107.A","A"
"cell2644","CD4 T cells","ctrl101.A","A"
"cell2645","CD14+ Monocytes","ctrl101.B","B"
"cell2646","CD14+ Monocytes","ctrl101.A","A"
"cell2647","CD4 T cells","ctrl101.A","A"
"cell2648","CD4 T cells","ctrl101.A","A"
"cell2649","CD14+ Monocytes","ctrl101.A","A"
"cell2650","CD4 T cells","ctrl101.A","A"
"cell2651","CD14+ Monocytes","ctrl101.A","A"
"cell2652","CD4 T cells","ctrl101.A","A"
"cell2653","CD4 T cells","ctrl101.A","A"
"cell2654","CD14+ Monocytes","ctrl101.A","A"
"cell2655","CD14+ Monocytes","ctrl107.A","A"
"cell2656","CD14+ Monocytes","ctrl101.A","A"
"cell2657","CD4 T cells","ctrl107.A","A"
"cell2658","CD14+ Monocytes","ctrl101.B","B"
"cell2659","CD4 T cells","ctrl101.A","A"
"cell2660","CD14+ Monocytes","ctrl101.A","A"
"cell2661","CD4 T cells","ctrl101.A","A"
"cell2662","CD14+ Monocytes","ctrl101.A","A"
"cell2663","CD14+ Monocytes","ctrl101.A","A"
"cell2664","CD14+ Monocytes","ctrl101.A","A"
"cell2665","CD14+ Monocytes","ctrl101.A","A"
"cell2666","CD14+ Monocytes","ctrl101.A","A"
"cell2667","CD4 T cells","ctrl101.A","A"
"cell2668","CD14+ Monocytes","ctrl101.A","A"
"cell2669","CD14+ Monocytes","ctrl101.A","A"
"cell2670","CD14+ Monocytes","ctrl101.B","B"
"cell2671","CD4 T cells","ctrl101.A","A"
"cell2672","CD4 T cells","ctrl101.A","A"
"cell2673","CD14+ Monocytes","ctrl101.A","A"
"cell2674","CD14+ Monocytes","ctrl101.A","A"
"cell2675","CD4 T cells","ctrl101.A","A"
"cell2676","CD4 T cells","ctrl101.B","B"
"cell2677","CD4 T cells","ctrl101.A","A"
"cell2678","CD4 T cells","ctrl101.A","A"
"cell2679","CD4 T cells","ctrl101.A","A"
"cell2680","CD4 T cells","ctrl101.A","A"
"cell2681","CD14+ Monocytes","ctrl101.A","A"
"cell2682","CD14+ Monocytes","ctrl101.A","A"
"cell2683","CD14+ Monocytes","ctrl101.A","A"
"cell2684","CD4 T cells","ctrl101.A","A"
"cell2685","CD4 T cells","ctrl101.A","A"
"cell2686","CD4 T cells","ctrl101.A","A"
"cell2687","CD4 T cells","ctrl101.A","A"
"cell2688","CD4 T cells","ctrl107.A","A"
"cell2689","CD14+ Monocytes","ctrl101.B","B"
"cell2690","CD14+ Monocytes","ctrl107.A","A"
"cell2691","CD4 T cells","ctrl101.A","A"
"cell2692","CD14+ Monocytes","ctrl101.A","A"
"cell2693","CD4 T cells","ctrl101.A","A"
"cell2694","CD4 T cells","ctrl101.A","A"
"cell2695","CD4 T cells","ctrl107.A","A"
"cell2696","CD4 T cells","ctrl101.A","A"
"cell2697","CD14+ Monocytes","ctrl101.B","B"
"cell2698","CD4 T cells","ctrl101.A","A"
"cell2699","CD14+ Monocytes","ctrl101.A","A"
"cell2700","CD14+ Monocytes","ctrl101.A","A"
"cell2701","CD14+ Monocytes","ctrl101.A","A"
"cell2702","CD4 T cells","ctrl107.A","A"
"cell2703","CD4 T cells","ctrl101.A","A"
"cell2704","CD14+ Monocytes","ctrl101.A","A"
"cell2705","CD14+ Monocytes","ctrl101.A","A"
"cell2706","CD4 T cells","ctrl101.B","B"
"cell2707","CD14+ Monocytes","ctrl101.A","A"
"cell2708","CD4 T cells","ctrl101.A","A"
"cell2709","CD4 T cells","ctrl101.A","A"
"cell2710","CD14+ Monocytes","ctrl101.A","A"
"cell2711","CD14+ Monocytes","ctrl101.A","A"
"cell2712","CD14+ Monocytes","ctrl101.B","B"
"cell2713","CD4 T cells","ctrl107.A","A"
"cell2714","CD4 T cells","ctrl101.A","A"
"cell2715","CD4 T cells","ctrl101.B","B"
"cell2716","CD4 T cells","ctrl101.A","A"
"cell2717","CD14+ Monocytes","ctrl101.A","A"
"cell2718","CD14+ Monocytes","ctrl101.A","A"
"cell2719","CD14+ Monocytes","ctrl101.A","A"
"cell2720","CD14+ Monocytes","ctrl101.A","A"
"cell2721","CD14+ Monocytes","ctrl101.A","A"
"cell2722","CD14+ Monocytes","ctrl107.A","A"
"cell2723","CD4 T cells","ctrl101.B","B"
"cell2724","CD14+ Monocytes","ctrl101.A","A"
"cell2725","CD14+ Monocytes","ctrl107.A","A"
"cell2726","CD4 T cells","ctrl101.A","A"
"cell2727","CD14+ Monocytes","ctrl101.A","A"
"cell2728","CD14+ Monocytes","ctrl101.A","A"
"cell2729","CD14+ Monocytes","ctrl101.B","B"
"cell2730","CD4 T cells","ctrl107.A","A"
"cell2731","CD4 T cells","ctrl101.A","A"
"cell2732","CD14+ Monocytes","ctrl101.B","B"
"cell2733","CD14+ Monocytes","ctrl101.A","A"
"cell2734","CD4 T cells","ctrl101.A","A"
"cell2735","CD14+ Monocytes","ctrl101.A","A"
"cell2736","CD4 T cells","ctrl101.A","A"
"cell2737","CD14+ Monocytes","ctrl101.A","A"
"cell2738","CD14+ Monocytes","ctrl101.A","A"
"cell2739","CD14+ Monocytes","ctrl101.A","A"
"cell2740","CD4 T cells","ctrl101.A","A"
"cell2741","CD4 T cells","ctrl101.A","A"
"cell2742","CD14+ Monocytes","ctrl101.A","A"
"cell2743","CD14+ Monocytes","ctrl101.A","A"
"cell2744","CD14+ Monocytes","ctrl107.A","A"
"cell2745","CD14+ Monocytes","ctrl101.A","A"
"cell2746","CD14+ Monocytes","ctrl101.A","A"
"cell2747","CD14+ Monocytes","ctrl101.A","A"
"cell2748","CD14+ Monocytes","ctrl101.A","A"
"cell2749","CD4 T cells","ctrl101.A","A"
"cell2750","CD4 T cells","ctrl101.A","A"
"cell2751","CD14+ Monocytes","ctrl107.A","A"
"cell2752","CD4 T cells","ctrl101.B","B"
"cell2753","CD4 T cells","ctrl101.A","A"
"cell2754","CD14+ Monocytes","ctrl101.A","A"
"cell2755","CD14+ Monocytes","ctrl101.A","A"
"cell2756","CD4 T cells","ctrl101.A","A"
"cell2757","CD4 T cells","ctrl107.A","A"
"cell2758","CD14+ Monocytes","ctrl101.A","A"
"cell2759","CD4 T cells","ctrl101.A","A"
"cell2760","CD4 T cells","ctrl101.A","A"
"cell2761","CD4 T cells","ctrl101.A","A"
"cell2762","CD4 T cells","ctrl101.A","A"
"cell2763","CD14+ Monocytes","ctrl101.B","B"
"cell2764","CD14+ Monocytes","ctrl107.A","A"
"cell2765","CD14+ Monocytes","ctrl101.A","A"
"cell2766","CD14+ Monocytes","ctrl101.A","A"
"cell2767","CD4 T cells","ctrl101.A","A"
"cell2768","CD4 T cells","ctrl101.A","A"
"cell2769","CD14+ Monocytes","ctrl107.A","A"
"cell2770","CD14+ Monocytes","ctrl101.A","A"
"cell2771","CD4 T cells","ctrl101.A","A"
"cell2772","CD14+ Monocytes","ctrl101.A","A"
"cell2773","CD4 T cells","ctrl101.A","A"
"cell2774","CD4 T cells","ctrl101.A","A"
"cell2775","CD14+ Monocytes","ctrl101.A","A"
"cell2776","CD14+ Monocytes","ctrl101.A","A"
"cell2777","CD14+ Monocytes","ctrl101.A","A"
"cell2778","CD4 T cells","ctrl101.B","B"
"cell2779","CD4 T cells","ctrl101.A","A"
"cell2780","CD14+ Monocytes","ctrl101.A","A"
"cell2781","CD4 T cells","ctrl101.A","A"
"cell2782","CD4 T cells","ctrl101.A","A"
"cell2783","CD14+ Monocytes","ctrl101.A","A"
"cell2784","CD4 T cells","ctrl101.B","B"
"cell2785","CD4 T cells","ctrl101.A","A"
"cell2786","CD4 T cells","ctrl101.A","A"
"cell2787","CD4 T cells","ctrl101.A","A"
"cell2788","CD4 T cells","ctrl101.A","A"
"cell2789","CD14+ Monocytes","ctrl101.A","A"
"cell2790","CD14+ Monocytes","ctrl101.A","A"
"cell2791","CD4 T cells","ctrl101.A","A"
"cell2792","CD14+ Monocytes","ctrl101.A","A"
"cell2793","CD4 T cells","ctrl101.A","A"
"cell2794","CD4 T cells","ctrl101.A","A"
"cell2795","CD4 T cells","ctrl101.A","A"
"cell2796","CD14+ Monocytes","ctrl101.A","A"
"cell2797","CD4 T cells","ctrl101.B","B"
"cell2798","CD4 T cells","ctrl101.A","A"
"cell2799","CD14+ Monocytes","ctrl101.A","A"
"cell2800","CD4 T cells","ctrl101.A","A"
"cell2801","CD4 T cells","ctrl101.A","A"
"cell2802","CD4 T cells","ctrl101.A","A"
"cell2803","CD4 T cells","ctrl101.A","A"
"cell2804","CD14+ Monocytes","ctrl107.A","A"
"cell2805","CD14+ Monocytes","ctrl101.B","B"
"cell2806","CD14+ Monocytes","ctrl101.A","A"
"cell2807","CD4 T cells","ctrl101.A","A"
"cell2808","CD14+ Monocytes","ctrl101.A","A"
"cell2809","CD14+ Monocytes","ctrl101.A","A"
"cell2810","CD4 T cells","ctrl101.A","A"
"cell2811","CD14+ Monocytes","ctrl101.B","B"
"cell2812","CD4 T cells","ctrl101.A","A"
"cell2813","CD14+ Monocytes","ctrl101.A","A"
"cell2814","CD14+ Monocytes","ctrl101.A","A"
"cell2815","CD14+ Monocytes","ctrl101.A","A"
"cell2816","CD4 T cells","ctrl101.B","B"
"cell2817","CD4 T cells","ctrl101.A","A"
"cell2818","CD4 T cells","ctrl101.B","B"
"cell2819","CD4 T cells","ctrl101.A","A"
"cell2820","CD14+ Monocytes","ctrl101.A","A"
"cell2821","CD4 T cells","ctrl107.A","A"
"cell2822","CD14+ Monocytes","ctrl101.A","A"
"cell2823","CD4 T cells","ctrl101.A","A"
"cell2824","CD14+ Monocytes","ctrl101.A","A"
"cell2825","CD14+ Monocytes","ctrl107.A","A"
"cell2826","CD14+ Monocytes","ctrl101.A","A"
"cell2827","CD14+ Monocytes","ctrl107.A","A"
"cell2828","CD14+ Monocytes","ctrl101.A","A"
"cell2829","CD14+ Monocytes","ctrl107.A","A"
"cell2830","CD14+ Monocytes","ctrl101.A","A"
"cell2831","CD14+ Monocytes","ctrl101.A","A"
"cell2832","CD4 T cells","ctrl101.A","A"
"cell2833","CD14+ Monocytes","ctrl101.A","A"
"cell2834","CD14+ Monocytes","ctrl101.A","A"
"cell2835","CD14+ Monocytes","ctrl101.A","A"
"cell2836","CD14+ Monocytes","ctrl101.A","A"
"cell2837","CD4 T cells","ctrl101.A","A"
"cell2838","CD14+ Monocytes","ctrl101.A","A"
"cell2839","CD14+ Monocytes","ctrl101.A","A"
"cell2840","CD4 T cells","ctrl107.A","A"
"cell2841","CD4 T cells","ctrl101.A","A"
"cell2842","CD14+ Monocytes","ctrl107.A","A"
"cell2843","CD14+ Monocytes","ctrl101.A","A"
"cell2844","CD14+ Monocytes","ctrl101.A","A"
"cell2845","CD14+ Monocytes","ctrl101.A","A"
"cell2846","CD4 T cells","ctrl101.A","A"
"cell2847","CD14+ Monocytes","ctrl107.A","A"
"cell2848","CD14+ Monocytes","ctrl101.A","A"
"cell2849","CD4 T cells","ctrl101.A","A"
"cell2850","CD14+ Monocytes","ctrl101.A","A"
"cell2851","CD14+ Monocytes","ctrl101.A","A"
"cell2852","CD4 T cells","ctrl101.A","A"
"cell2853","CD14+ Monocytes","ctrl101.A","A"
"cell2854","CD14+ Monocytes","ctrl101.A","A"
"cell2855","CD14+ Monocytes","ctrl101.A","A"
"cell2856","CD4 T cells","ctrl101.A","A"
"cell2857","CD14+ Monocytes","ctrl101.B","B"
"cell2858","CD14+ Monocytes","ctrl101.A","A"
"cell2859","CD4 T cells","ctrl101.A","A"
"cell2860","CD4 T cells","ctrl101.A","A"
"cell2861","CD4 T cells","ctrl101.A","A"
"cell2862","CD4 T cells","ctrl101.A","A"
"cell2863","CD4 T cells","ctrl107.A","A"
"cell2864","CD4 T cells","ctrl101.A","A"
"cell2865","CD4 T cells","ctrl101.A","A"
"cell2866","CD14+ Monocytes","ctrl101.A","A"
"cell2867","CD4 T cells","ctrl101.A","A"
"cell2868","CD4 T cells","ctrl101.A","A"
"cell2869","CD14+ Monocytes","ctrl101.A","A"
"cell2870","CD4 T cells","ctrl101.A","A"
"cell2871","CD14+ Monocytes","ctrl101.A","A"
"cell2872","CD14+ Monocytes","ctrl101.A","A"
"cell2873","CD4 T cells","ctrl101.B","B"
"cell2874","CD4 T cells","ctrl101.A","A"
"cell2875","CD14+ Monocytes","ctrl107.A","A"
"cell2876","CD4 T cells","ctrl107.A","A"
"cell2877","CD14+ Monocytes","ctrl101.A","A"
"cell2878","CD14+ Monocytes","ctrl101.A","A"
"cell2879","CD14+ Monocytes","ctrl101.A","A"
"cell2880","CD14+ Monocytes","ctrl101.A","A"
"cell2881","CD14+ Monocytes","ctrl101.A","A"
"cell2882","CD14+ Monocytes","ctrl107.A","A"
"cell2883","CD14+ Monocytes","ctrl101.A","A"
"cell2884","CD4 T cells","ctrl101.A","A"
"cell2885","CD4 T cells","ctrl101.A","A"
"cell2886","CD4 T cells","ctrl107.A","A"
"cell2887","CD14+ Monocytes","ctrl101.B","B"
"cell2888","CD14+ Monocytes","ctrl101.A","A"
"cell2889","CD14+ Monocytes","ctrl101.A","A"
"cell2890","CD4 T cells","ctrl101.B","B"
"cell2891","CD4 T cells","ctrl101.A","A"
"cell2892","CD4 T cells","ctrl101.A","A"
"cell2893","CD4 T cells","ctrl101.A","A"
"cell2894","CD4 T cells","ctrl101.A","A"
"cell2895","CD14+ Monocytes","ctrl101.A","A"
"cell2896","CD4 T cells","ctrl101.A","A"
"cell2897","CD4 T cells","ctrl101.A","A"
"cell2898","CD4 T cells","ctrl107.A","A"
"cell2899","CD4 T cells","ctrl101.A","A"
"cell2900","CD4 T cells","ctrl101.A","A"
"cell2901","CD14+ Monocytes","ctrl101.A","A"
"cell2902","CD14+ Monocytes","ctrl101.A","A"
"cell2903","CD14+ Monocytes","ctrl101.A","A"
"cell2904","CD14+ Monocytes","ctrl101.A","A"
"cell2905","CD4 T cells","ctrl107.A","A"
"cell2906","CD14+ Monocytes","ctrl101.A","A"
"cell2907","CD14+ Monocytes","ctrl101.A","A"
"cell2908","CD14+ Monocytes","ctrl101.A","A"
"cell2909","CD14+ Monocytes","ctrl101.A","A"
"cell2910","CD4 T cells","ctrl101.A","A"
"cell2911","CD4 T cells","ctrl101.A","A"
"cell2912","CD4 T cells","ctrl101.A","A"
"cell2913","CD4 T cells","ctrl101.A","A"
"cell2914","CD14+ Monocytes","ctrl101.A","A"
"cell2915","CD14+ Monocytes","ctrl101.A","A"
"cell2916","CD4 T cells","ctrl101.A","A"
"cell2917","CD14+ Monocytes","ctrl101.A","A"
"cell2918","CD4 T cells","ctrl101.A","A"
"cell2919","CD4 T cells","ctrl101.A","A"
"cell2920","CD4 T cells","ctrl101.A","A"
"cell2921","CD14+ Monocytes","ctrl107.A","A"
"cell2922","CD4 T cells","ctrl101.A","A"
"cell2923","CD14+ Monocytes","ctrl101.B","B"
"cell2924","CD4 T cells","ctrl101.A","A"
"cell2925","CD14+ Monocytes","ctrl101.A","A"
"cell2926","CD4 T cells","ctrl101.B","B"
"cell2927","CD14+ Monocytes","ctrl107.A","A"
"cell2928","CD4 T cells","ctrl101.A","A"
"cell2929","CD14+ Monocytes","ctrl101.A","A"
"cell2930","CD14+ Monocytes","ctrl101.A","A"
"cell2931","CD4 T cells","ctrl107.A","A"
"cell2932","CD14+ Monocytes","ctrl101.B","B"
"cell2933","CD4 T cells","ctrl101.A","A"
